input,actual_output,expected_output,context,source_file
¿Cómo me pueden ayudar los depósitos a plazo y los bonos de renta fija a tener una inversión estable siendo un ahorrador novato?,,"Los depósitos a plazo y los bonos son instrumentos de renta fija; ofrecen mayor estabilidad porque el rendimiento es predecible y seguro, lo que permite minimizar riesgos y obtener resultados más predecibles, ideal para un ahorrador novato.","# Renta fija y variable: ¿cuál es la mejor opción para tu primer ahorro?


## Respuesta

Dar el primer paso hacia el ahorro puede parecer complicado, pero entender conceptos como renta fija y variable te ayudará a tomar decisiones más informadas. Ambas opciones ofrecen ventajas, dependiendo de tus necesidades y tolerancia al riesgo:

Renta fija: Se basa en instrumentos como depósitos a plazo o bonos. Ofrecen mayor estabilidad porque el rendimiento es predecible y seguro.

Renta variable: Incluye instrumentos como acciones. Pueden ser más riesgosos, pero también ofrecen la posibilidad de mayores retornos.

¿Cómo elegir?

Si buscas seguridad, empieza por la renta fija. Es ideal para quienes prefieren minimizar riesgos y necesitan resultados más predecibles. Además, antes de invertir, analiza tus metas financieras, infórmate bien y consulta las diferentes opciones que se adapten a tu situación actual.

Ahorrar, por pequeño que sea el monto, es una excelente manera de construir tranquilidad financiera a largo plazo. ¡La clave está en conocer las alternativas y elegir la que mejor se ajuste a tu realidad!

Renta fija y variable: ¿cuál es la mejor opción para tu primer ahorro?

---
**Fuente**: https://www.educacionfinancierabancoestado.cl/quiero-ahorrar/detalle-quiero-ahorrar/c%C3%B3mo-ahorrar-si-tengo-ingresos-irregulares",../old_knowledge_base_small\BD1-00086.md
"Oye, ¿en qué transacción se paga el IVA y dónde se hace?",,El IVA (impuesto al valor agregado) se paga en cada compra que realizas. Los impuestos se pagan según la operación que realices.,"# ¿Dónde puedo pagar mis impuestos?

## Respuesta

Los impuestos se pagan en virtud de la operación que realices. Por ejemplo, el IVA (impuesto al valor agregado) se paga en cada compra que realizas.

¿Dónde puedo pagar mis impuestos?
",../old_knowledge_base_small\BD1-00010.md
"¿Cómo puedo fijar metas, elegir montos, automatizar transferencias y seguir mi progreso para ahorrar sin complicaciones?",,"**Cómo fijar metas, elegir montos, automatizar transferencias y seguir tu progreso**

1. **Establece una meta clara**: define exactamente para qué estás ahorrando.  
2. **Elige el monto a ahorrar**: calcula un porcentaje de tus ingresos que puedas transferir regularmente.  
3. **Automatiza los pagos**: configura transferencias automáticas desde tu cuenta de ingreso a una cuenta de ahorros.  
4. **Revisa y ajusta tus metas**: periódicamente verifica tu progreso y modifica la meta o el monto si es necesario.  

Con estos pasos tendrás un ahorro constante, sencillo y sin complicaciones.","# Ahorro automático: la clave para alcanzar tus metas financieras


## Respuesta

¿Te gustaría ahorrar dinero sin tener que pensarlo dos veces? El ahorro automático es una herramienta poderosa que te permite alcanzar tus metas financieras de manera sencilla y efectiva. Descubre cómo esta práctica puede transformar tu relación con el dinero.

¿Qué es el ahorro automático?Es una estrategia financiera en la que se programan transferencias regulares de una parte del ingreso hacia una cuenta de ahorros, sin necesidad de intervención manual. Esto ayuda a ahorrar de manera constante y facilita la acumulación de fondos a lo largo del tiempo, promoviendo una gestión más eficiente y ordenada del dinero.

¿Qué beneficios tiene el ahorro automático?

● Facilidad y comodidad.

● Consistencia en el ahorro.

● Mayor disciplina financiera.

● Ganancias extra por intereses.

¿Cómo implementar el ahorro automático?

● Establecer una meta clara: Define para qué estás ahorrando.

● Elegir el monto a ahorrar: Calcula un porcentaje de tus ingresos.

● Automatizar los pagos: Configura transferencias automáticas.

Consejos adicionales:

● Sé paciente: Los resultados se ven a largo plazo.

● Revisa tus metas periódicamente: Ajusta tu plan de ahorro si es necesario.

El ahorro automático es una estrategia simple pero efectiva para construir tu futuro financiero. Al automatizar tus ahorros, estarás más cerca de alcanzar tus metas y disfrutar de mayor tranquilidad económica.

Ahorro automático: la clave para alcanzar tus metas financieras

---
**Fuente**: https://www.educacionfinancierabancoestado.cl/quiero-ahorrar/detalle-quiero-ahorrar/ahorro-autom%C3%A1tico-la-clave-para-alcanzar-tus-metas-financieras",../old_knowledge_base_small\BD1-00101.md
"¿Me puedes explicar qué es la cartola de gastos operacionales y qué incluye, como la inscripción, la conservación, la tasación, el estudio del título y la redacción de la escritura?",,"Es el documento que muestra los movimientos y saldos relacionados a los gastos operacionales incurridos para cursar el crédito hipotecario, tales como: inscripción conservatoria, tasación, estudio de títulos y redacción de escritura.","# Qué es la cartola de gastos operacionales

## Respuesta

Es el documento que muestra los movimientos y saldos relacionados a los gastos operacionales incurridos para cursar el crédito hipotecario, tales como: inscripción conservatoria, tasación, estudio de títulos y redacción de escritura.

Qué es la cartola de gastos operacionales
",../old_knowledge_base_small\BD1-00143.md
"Con solo 4 meses y empleo asalariado, ¿cumplo la antigüedad mínima para hipoteca?",,"La antigüedad mínima requerida depende de la actividad o tipo de ingreso del cliente; para saber si con 4 meses y empleo asalariado cumples, debes consultar las especificaciones correspondientes en el sitio público.","# Antigüedad y Situación Laboral para Solicitar Crédito Hipotecario

## Respuesta

La antigüedad laboral mínima requerida se encuentra en función de la actividad o tipo de ingreso del cliente. (diferencias en sitio público)

Antigüedad y Situación Laboral para Solicitar Crédito Hipotecario
",../old_knowledge_base_small\BD1-00594.md
¿Qué es el certificado de depósito a plazo y quién lo emite?,,Es un documento que emite el Servicio de Registro Civil que acredita la existencia o no de inscripciones en el Registro Nacional de Deudores de Pensión de Alimentos.,"# Qué es el certificado de pensión de alimento y donde se obtiene

## Respuesta

Es un documento que emite el Servicio de Registro Civil que acredita la existencia o no de inscripciones en el Registro Nacional de Deudores de Pensión de Alimentos.

Qué es el certificado de pensión de alimento y donde se obtiene
",../old_knowledge_base_small\BD1-00144.md
¿Cómo se compara la elegibilidad para un crédito hipotecario si soy chileno con la de un extranjero con residencia permanente?,,Chilena o extranjera con permanencia definitiva. Sujeto a cumplimiento de requisitos comerciales y normativos vigentes a la fecha de otorgamiento.,"# Nacionalidad para Solicitar Crédito Hipotecario

## Respuesta

Chilena o extranjera con permanencia definitiva. Sujeto a cumplimiento de requisitos comerciales y normativos vigentes a la fecha de otorgamiento.

Nacionalidad para Solicitar Crédito Hipotecario
",../old_knowledge_base_small\BD1-00599.md
"¿Si tengo deudas y pago bien, eso influye en que me aprueben un crédito?",,"Sí. Para que te aprueben un crédito, debes contar con un endeudamiento que te permita asumir la obligación y demostrar buen comportamiento en el pago de tus obligaciones financieras, tanto al presentar la solicitud como al momento de la resolución del crédito.","# Buen comportamiento y endeudamiento

## Respuesta

Al momento de la evaluación, el o los solicitantes, deberán contar con un endeudamiento que permita al cliente asumir una obligación crediticia y un buen comportamiento de pago de sus obligaciones financieras.

Los antecedentes de endeudamiento y comportamiento deben cumplirse al momento de presentar la solicitud, como también al momento de la resolución del crédito

Buen comportamiento y endeudamiento
",../old_knowledge_base_small\BD1-00595.md
Tengo un sueldo de 600 mil y el dividendo sería X. ¿Cumplo el 30 % y necesito co‑deudor o aval independiente para un crédito de 900 mil?,,"Con un sueldo líquido de **$600.000**, cumples con la renta mínima exigida para solicitar el crédito.  
El dividendo debe ser, como máximo, el **30 % de tus ingresos**, es decir ≤ $180.000. Si el dividendo X está dentro de ese rango, cumples con el requisito del 30 %.

Para un crédito de **$900.000**, la norma indica que la suma de rentas de los titulares (tú y el co‑deudor o segundo comprador) debe ser **igual o superior a $900.000**. Como tu renta sola es $600.000, necesitarías:

- **Un co‑deudor** (con o sin vínculo) o  
- **Un segundo/tercer comprador**  

para alcanzar la renta combinada requerida.  

En caso de optar por un **aval**, este debe ser evaluado de forma independiente y cumplir todos los requisitos de la evaluación comercial y de riesgo.","# Renta líquida Mínima para Solicitar Crédito Hipotecario

## Respuesta

Sueldo líquido mayor o igual a $600.000 con opción de complementar renta con un codeudor, con o sin vínculo, o segundo comprador. Sujeto a evaluación comercial y de riesgo vigente al momento de otorgamiento del crédito.

Opción de complementar renta con un codeudor, con o sin vínculo, o un segundo o tercer comprador. La renta de ambos ingresos debe ser mayor o igual a $900.000 pesos líquidos.

Para complementación de renta, el titular del crédito debe cumplir con la renta mínima de $600.000. Sujeto a evaluación comercial y de riesgo vigente al momento de otorgamiento del crédito.

En caso de requerir un aval, este deberá ser evaluado en forma independiente de la misma forma que el deudor directo , deberá calificar en todos los aspectos de la evaluación y cumplir con todas las normativas vigentes por sí solo.

Valor del dividendo a pagar hasta el 30% de tus ingresos mensuales.

Renta líquida Mínima para Solicitar Crédito Hipotecario
",../old_knowledge_base_small\BD1-00602.md
¿Puede deuda en BancoEstado impedir usar recursos propios como pie para crédito hipotecario?,,No. El pie debe aportarse con recursos propios y no puede provenir de endeudamiento en BancoEstado u otras instituciones financieras.,"# Pie para solicitar Crédito Hipotecario

## Respuesta

El pie (cuota contado) debe ser aportado con recursos propios y no debe corresponder a endeudamiento en BancoEstado u otras instituciones financieras.

Pie para solicitar Crédito Hipotecario
",../old_knowledge_base_small\BD1-00600.md
