filename,wordcount
BD1-XXXX ,0
BD1-00580,107
BD1-00581,67
BD1-00582,38
BD1-00583,32
BD1-00584,53
BD1-00585,25
BD1-00586,23
BD1-00587,49
BD1-00588,105
BD1-00589,49
BD1-00590,31
BD1-00591,69
BD1-00592,35
BD1-00593,36
BD1-00594,30
BD1-00595,59
BD1-00596,172
BD1-00597,78
BD1-00598,51
BD1-00599,25
BD1-00600,27
BD1-00601,175
BD1-00602,159
BD1-00033,349
BD1-00034,232
BD1-00035,581
BD1-00036,338
BD1-00037,581
BD1-00038,648
BD1-00039,403
BD1-00040,182
BD1-00041,389
BD1-00042,322
BD1-00043,441
BD1-00044,290
BD1-00045,200
BD1-00046,393
BD1-00047,0
BD1-00048,272
BD1-00049,217
BD1-00050,909
BD1-00051,180
BD1-00052,296
BD1-00053,390
BD1-00054,275
BD1-00055,319
BD1-00056,275
BD1-00057,194
BD1-00058,148
BD1-00059,191
BD1-00060,321
BD1-00061,291
BD1-00062,203
BD1-00063,463
BD1-00064,245
BD1-00065,220
BD1-00066,190
BD1-00067,209
BD1-00068,206
BD1-00069,165
BD1-00071,248
BD1-00072,243
BD1-00073,225
BD1-00074,268
BD1-00075,223
BD1-00076,175
BD1-00077,289
BD1-00078,211
BD1-00079,254
BD1-00080,208
BD1-00081,176
BD1-00170,51
BD1-00171,26
BD1-00172,15
BD1-00173,25
BD1-00174,71
BD1-00175,16
BD1-00176,37
BD1-00177,125
BD1-00178,106
BD1-00179,86
BD1-00180,66
BD1-00181,143
BD1-00182,101
BD1-00183,39
BD1-00184,59
BD1-00185,33
BD1-00186,12
BD1-00187,38
BD1-00188,49
BD1-00189,21
BD1-00190,43
BD1-00191,70
BD1-00192,17
BD1-00193,15
BD1-00194,30
BD1-00195,73
BD1-00196,51
BD1-00197,38
BD1-00198,47
BD1-00199,45
BD1-00200,38
BD1-00201,44
BD1-00202,85
BD1-00203,135
BD1-00204,149
BD1-00205,32
BD1-00206,36
BD1-00207,48
BD1-00208,32
BD1-00209,106
BD1-00210,64
BD1-00211,110
BD1-00212,68
BD1-00213,34
BD1-00214,71
BD1-00215,23
BD1-00216,36
BD1-00217,44
BD1-00218,27
BD1-00219,25
BD1-00220,45
BD1-00221,57
BD1-00222,170
BD1-00223,85
BD1-00224,20
BD1-00225,37
BD1-00226,28
BD1-00227,77
BD1-00228,45
BD1-00229,22
BD1-00230,25
BD1-00231,29
BD1-00232,25
BD1-00233,79
BD1-00234,27
BD1-00235,93
BD1-00236,20
BD1-00237,48
BD1-00238,37
BD1-00239,47
BD1-00240,154
BD1-00241,49
BD1-00242,72
BD1-00243,22
BD1-00244,44
BD1-00245,41
BD1-00246,48
BD1-00247,32
