user_input,reference_contexts,reference,persona_name,query_style,query_length,synthesizer_name
¿Cómo contrato la cuenta de ahorro para vivienda a través de la App Banco Estado?,['Cómo contratar tu cuenta de ahorro para la vivienda\n\nRespuesta\n\nPaso 1: Ingresa a la App Banco estado\n\nPaso 2: Dirígete a la opción menú productos\n\nPaso 3: Selecciona abrir Cuenta de Ahorro Vivienda\n\nCómo contratar tu cuenta de ahorro para la vivienda\n\nFuente: https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/productos-/ahorro-e-inversiones-/cuentas-de-ahorro-/ahorro-vivienda.html#tabahorro-item-d55526cc6a-tab'],"Para contratar la cuenta de ahorro para la vivienda con la App Banco Estado, sigue estos pasos: 1) Ingresa a la App Banco Estado; 2) Dirígete a la opción menú productos; 3) Selecciona abrir Cuenta de Ahorro Vivienda.",Padre de Familia Pragmático,WEB_SEARCH_LIKE,MEDIUM,single_hop_specific_query_synthesizer
¿Qué beneficios tiene la Cuenta de Ahorro Vivienda?,"['Beneficios de tu Cuenta de Ahorro Vivienda\n\nRespuesta\n\nCuenta unipersonal y reajustable de acuerdo a la variación de la UF, con la que puedes postular a Subsidio Habitacional\n\nTarjeta de Cajero Automático BancoEstado gratuita: Reciba su tarjeta al operar en toda la red de cajeros BancoEstado\n\nUtiliza tu Cuenta con o sin Libreta: Si decides no utilizar Libreta obtendrás una mayor Tasa de Interés\n\nPrograma tu Ahorro mensual desde $1.000: Puedes programar un ahorro mensual con cargo a tus cuentas de débito.\n\nPuedes postular al Subsidio Habitacional del MINVU: Servicio disponible en línea con MINVU.\n\nBeneficios de tu Cuenta de Ahorro Vivienda\n\nFuente: https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/productos-/ahorro-e-inversiones-/cuentas-de-ahorro-/ahorro-vivienda.html#tabahorro-item-d55526cc6a-tab']","La Cuenta de Ahorro Vivienda es unipersonal y se reajusta según la variación de la UF, permite postular al Subsidio Habitacional, incluye una tarjeta de cajero automático gratuita de BancoEstado, puede usarse con o sin libreta (obteniendo una mayor tasa de interés si no se usa libreta), permite programar ahorros mensuales desde $1.000 y ofrece la posibilidad de postular al subsidio habitacional del MINVU a través de un servicio en línea.",Estudiante Curioso,PERFECT_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
"¿Podrías explicarme cómo se reajusta la Cuenta de Ahorro Vivienda según la variación de la UF, qué efecto tiene eso en los intereses que percibo y cuál es el límite de giros diarios expresado en UF?","['Qué es la Cuenta de Ahorro Vivienda\n\nRespuesta\n\nEs una Cuenta unipersonal y reajustable de acuerdo a la variación de la UF, con la que puedes postular a Subsidio Habitacional.\n\nGana intereses y reajustes anualmente por los Depósitos mantenidos por 90 días o más en tu Cuenta. Además, te permite realizar giros de hasta 30 UF diarias, o montos mayores con un aviso de 7 días de anticipación.\n\nCon esta Cuenta de ahorro puedes postular al Subsidio Habitacional del D. S. Nº 40 de 2004 del Ministerio de Vivienda y Urbanismo, inmediatamente después de haber completado el ahorro mínimo exigido. También puedes postular al Subsidio General de Interés Territorial (ex Renovación Urbana) o de Rehabilitación Patrimonial contemplado en el D. S. Nº 40/2004 del MINVU.\n\nQué es la Cuenta de Ahorro Vivienda\n\nFuente: https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/productos-/ahorro-e-inversiones-/cuentas-de-ahorro-/ahorro-vivienda.html#tabahorro-item-d55526cc6a-tab']","La Cuenta de Ahorro Vivienda es una cuenta unipersonal y se reajusta de acuerdo a la variación de la UF. Además, genera intereses y reajustes anuales sobre los depósitos que se mantengan en la cuenta por 90 días o más. En cuanto a los giros, permite retirar hasta 30 UF diarias, o montos mayores si se avisa con 7 días de anticipación.",Pequeña Inversionista,PERFECT_GRAMMAR,LONG,single_hop_specific_query_synthesizer
documentos abrir cuenta ahorro vivienda BancoEstado,['Qué documentos se necesitan para abrir la Cuenta de Ahorro Vivienda\n\nRespuesta\n\nCédula de Identidad.\n\nDocumentar origen de fondos cuando corresponda.\n\nQué documentos se necesitan para abrir la Cuenta de Ahorro Vivienda\n\nFuente: https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/productos-/ahorro-e-inversiones-/cuentas-de-ahorro-/ahorro-vivienda.html#tabahorro-item-d55526cc6a-tab'],"Se necesita la cédula de identidad y, cuando corresponda, documentar el origen de fondos.",Estudiante Curioso,WEB_SEARCH_LIKE,SHORT,single_hop_specific_query_synthesizer
¿Las declaraciones juradas para el crédito hipotecario de BancoEstado deben firmarse ante notario?,"['¿Las declaraciones juradas que se deben presentar (del comprador y la Inmobiliaria) deben ser ante notario?\n\nRespuesta\n\nLas declaraciones juradas son simples, por lo que no se requiere que sean firmadas ante notario.\n\n¿Las declaraciones juradas que se deben presentar (del comprador y la Inmobiliaria) deben ser ante notario?\n\nFuente: https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/centro-de-ayuda/productos/creditos---bancoestado-personas/credito-hipotecario-fogaes---bancoestado-personas/-las-declaraciones-juradas-que-se-deben-presentar--del-comprador.html#/']","No, las declaraciones juradas son simples y no es necesario que sean firmadas ante notario.",Estudiante Curioso,PERFECT_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
que es fogaes y como funciona,"['¿Se debe postular al subsidio de tasa?\n\nRespuesta\n\nNo se postula al subsidio de tasa, se solicita directamente a un ejecutivo en BancoEstado. Debes cumplir con los requisitos que señala la ley y su reglamento y con las políticas de evaluación comercial y de riesgo definidas por el Banco.\n\n¿Se debe postular al subsidio de tasa?\n\nFuente: https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/centro-de-ayuda/productos/creditos---bancoestado-personas/credito-hipotecario-fogaes---bancoestado-personas/-se-debe-postular-al-subsidio-de-tasa----centro-de-ayuda-bancoes.html#/']","Fogaes es el crédito hipotecario que ofrece BancoEstado. Para el subsidio de tasa no se postula, se solicita directamente a un ejecutivo del banco cumpliendo los requisitos que marca la ley, su reglamento y las políticas de evaluación comercial y de riesgo del Banco.",Estudiante Curioso,POOR_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
cual es la diferencia entre la tasa fija la tasa mixta y la tasa variable en un crédito hipotecario y como se aplican los años iniciales y los cambios posteriores,"['Tasa de interés para crédito hipotecario\n\nRespuesta\n\nExisten 3 tipos de tasas a los que se puede optar dependiendo del tipo de financiamiento: Fija: Tasa fija durante todo el período del crédito que se pacta en el origen del crédito. Mixta: Tasa fija por los primeros 3 o 5 años y luego tasa fija por el resto del período dependiendo del plazo total solicitado, ambas se pactan en el origen del crédito. Variable: Tasa fija por los primeros 3 o 5 años que se pacta en el origen y luego variable año a año a partir del cuarto o sexto año respectivamente.\n\nTasa de interés para crédito hipotecario\n\nFuente: https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/productos-/creditos/creditos-hipotecarios.html#/']","Existen tres tipos de tasas para un crédito hipotecario: la tasa fija se mantiene igual durante todo el período del crédito y se pacta al inicio; la tasa mixta es fija durante los primeros 3 o 5 años y luego sigue siendo fija por el resto del período, con los plazos pactados al origen del crédito; la tasa variable es fija durante los primeros 3 o 5 años y a partir del cuarto o sexto año se vuelve variable año a año.",Estudiante Curioso,POOR_GRAMMAR,LONG,single_hop_specific_query_synthesizer
"Oye, ¿me puedes explicar cómo funciona la tasa de interés subsidiada en el programa de apoyo a la vivienda nueva, qué ventajas tiene y hasta cuánto financiamiento y plazo me pueden dar?","['Programa de Apoyo a la Vivienda Nueva con Tasa de Interés Subsidiada y Garantía Estatal FOGAES\n\nRespuesta\n\nTe apoyamos para la compra de tu vivienda nueva, con y sin subsidio.\n\nEste Programa permite al Banco entregar a las personas y familias mejores condiciones comerciales para acceder a un Créditos Hipotecario para financiar una vivienda nueva, con una tasa de interés rebajada, alcanzando hasta el 90% de financiamiento y plazo de hasta 30 años para pagar.\n\nPrograma de Apoyo a la Vivienda Nueva con Tasa de Interés Subsidiada y Garantía Estatal FOGAES\n\nFuente: https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/campanas-bancoestado---bancoestado-personas/2025/garantia-estatal-fogaes-vivienda---bancoestado-personas.html#/']",La tasa de interés subsidiada es una tasa rebajada que ofrece el Programa de Apoyo a la Vivienda Nueva con Garantía Estatal FOGAES. Con ella el banco puede financiar hasta el 90 % del valor de una vivienda nueva y el plazo máximo es de 30 años para pagar el crédito hipotecario.,Padre de Familia Pragmático,POOR_GRAMMAR,LONG,single_hop_specific_query_synthesizer
tiempo proceso portabilidad crédito hipotecario,"['Cuanto tiempo demora el proceso de Portabilidad\n\nRespuesta\n\nDependerá, del tipo de producto, por ejemplo, un crédito hipotecario se podría demorar más tiempo que un crédito de consumo. De todas maneras, el plazo para recibir una oferta de portabilidad desde que se ingresa la solicitud de portabilidad financiera, son hasta 30 días hábiles.\n\nCuanto tiempo demora el proceso de Portabilidad\n\nFuente: https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/productos-/portate-a-banco-estado.html#/']","El proceso de portabilidad de un crédito hipotecario puede tardar hasta 30 días hábiles desde que se ingresa la solicitud, y suele demorar más que el de un crédito de consumo.",Estudiante Curioso,WEB_SEARCH_LIKE,SHORT,single_hop_specific_query_synthesizer
Que beneficios tiene la portabilidad financiera para clientes?,"['Qué beneficios tiene la Portabilidad Financiera para los clientes\n\nRespuesta\n\nLa Portabilidad Financiera busca dar mayor facilidad para que las personas se puedan cambiar de una Institución financiera a otra que le otorgue mejores condiciones, disminuyendo hasta en un 60% los costos en el caso de créditos hipotecarios y los tiempos. Dado lo anterior se podrá elegir con mayor libertad y facilidad aquella institución que te entreguen mejores beneficios.\n\nQué beneficios tiene la Portabilidad Financiera para los clientes\n\nFuente: https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/productos-/portate-a-banco-estado.html#/']","La Portabilidad Financiera permite a los clientes cambiar de una institución a otra con mejores condiciones, reduciendo hasta un 60% los costos de los créditos hipotecarios y acortando los tiempos, lo que les da mayor libertad y facilidad para elegir la entidad que les ofrezca mejores beneficios.",Padre de Familia Pragmático,POOR_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
