user_input,reference_contexts,reference,persona_name,query_style,query_length,synthesizer_name
"Oye, ¿me puedes explicar cómo arrancar un fondo de emergencia cuando el sueldo es bajo, usando la info de educacionfinancierabancoestado.cl, y qué pasos básicos debería seguir?","['¿Cómo iniciar un fondo de emergencia sin grandes ingresos?\n\nRespuesta\n\nTener un fondo de emergencia es clave para enfrentar imprevistos sin endeudarse, pero si tu sueldo es ajustado, puede parecer un desafío. La buena noticia es que no necesitas ahorrar grandes sumas de inmediato, sino empezar con pasos pequeños y constantes.\n\nDefine un objetivo realista\n\nNo es necesario que ahorres de golpe varios sueldos completos. Un buen punto de partida es reunir el equivalente a un mes de gastos básicos y, con el tiempo, ampliar la meta a tres o seis meses.\n\nAhorra poco, pero de forma constante\n\nSi tus ingresos son limitados, intenta ahorrar pequeñas cantidades regularmente. Incluso $5.000 o $10.000 al mes pueden hacer la diferencia, si eres constante.\n\nAutomatiza tu ahorro\n\nConfigura una transferencia automática a una cuenta separada, cada vez que recibas tu sueldo. Así, será más fácil evitar la tentación de gastar ese dinero antes de guardarlo.\n\nUsa una cuenta sin costos\n\nGuarda tu fondo en una cuenta de ahorro que no cobre comisiones por mantención. Lo ideal es que sea de fácil acceso, pero sin que puedas retirarlo con tarjeta, para evitar gastarlo en cosas no esenciales.\n\nReduce gastos innecesarios\n\nPequeños ajustes en tu presupuesto pueden liberar dinero para tu fondo. Evita suscripciones que no usas, reduce salidas a comer fuera o revisa alternativas más económicas en servicios.\n\nAhorrar con un sueldo ajustado puede parecer difícil, pero con constancia y pequeños cambios en tus hábitos financieros, puedes construir un fondo de emergencia que te dará tranquilidad y estabilidad.\n\n¿Cómo iniciar un fondo de emergencia sin grandes ingresos?\n\nFuente: https://www.educacionfinancierabancoestado.cl/quiero-ahorrar/detalle-quiero-ahorrar/c%C3%B3mo-iniciar-un-fondo-de-emergencia-sin-grandes-ingresos']","Para iniciar un fondo de emergencia con ingresos limitados, lo primero es definir un objetivo realista, como juntar el equivalente a un mes de gastos básicos y luego ampliar la meta a tres o seis meses. Después, ahorra pequeñas cantidades de forma constante; incluso $5.000 o $10.000 al mes pueden servir si eres constante. Configura una transferencia automática a una cuenta separada cada vez que recibas tu sueldo, así evitas gastar ese dinero antes de guardarlo. Usa una cuenta de ahorro sin costos de mantención, que sea de fácil acceso pero sin tarjeta para evitar retiros impulsivos. Finalmente, revisa tu presupuesto y reduce gastos innecesarios, como suscripciones que no usas o salidas frecuentes a comer fuera, para liberar más dinero al fondo. Con constancia y pequeños cambios en tus hábitos financieros, podrás construir un fondo de emergencia que te brinde tranquilidad y estabilidad.",Estudiante Curioso,POOR_GRAMMAR,LONG,single_hop_specific_query_synthesizer
¿Cómo se paga el IVA en Chile?,"['¿Dónde puedo pagar mis impuestos?\n\nRespuesta\n\nLos impuestos se pagan en virtud de la operación que realices. Por ejemplo, el IVA (impuesto al valor agregado) se paga en cada compra que realizas.\n\n¿Dónde puedo pagar mis impuestos?']","El IVA se paga en cada compra que realizas, ya que los impuestos se pagan según la operación que efectúas.",Estudiante Curioso,WEB_SEARCH_LIKE,SHORT,single_hop_specific_query_synthesizer
¿Qué son las acciones y qué implican?,"['Renta fija y variable: ¿cuál es la mejor opción para tu primer ahorro?\n\nRespuesta\n\nDar el primer paso hacia el ahorro puede parecer complicado, pero entender conceptos como renta fija y variable te ayudará a tomar decisiones más informadas. Ambas opciones ofrecen ventajas, dependiendo de tus necesidades y tolerancia al riesgo:\n\nRenta fija: Se basa en instrumentos como depósitos a plazo o bonos. Ofrecen mayor estabilidad porque el rendimiento es predecible y seguro.\n\nRenta variable: Incluye instrumentos como acciones. Pueden ser más riesgosos, pero también ofrecen la posibilidad de mayores retornos.\n\n¿Cómo elegir?\n\nSi buscas seguridad, empieza por la renta fija. Es ideal para quienes prefieren minimizar riesgos y necesitan resultados más predecibles. Además, antes de invertir, analiza tus metas financieras, infórmate bien y consulta las diferentes opciones que se adapten a tu situación actual.\n\nAhorrar, por pequeño que sea el monto, es una excelente manera de construir tranquilidad financiera a largo plazo. ¡La clave está en conocer las alternativas y elegir la que mejor se ajuste a tu realidad!\n\nRenta fija y variable: ¿cuál es la mejor opción para tu primer ahorro?\n\nFuente: https://www.educacionfinancierabancoestado.cl/quiero-ahorrar/detalle-quiero-ahorrar/c%C3%B3mo-ahorrar-si-tengo-ingresos-irregulares']","En el contexto de la renta variable, las acciones son instrumentos de inversión que pueden ser más riesgosos, pero también ofrecen la posibilidad de obtener mayores retornos.",Estudiante Curioso,WEB_SEARCH_LIKE,SHORT,single_hop_specific_query_synthesizer
¿Cómo funciona el ahorro automático y qué beneficios me puede aportar al planear comprar mi primer departamento?,"['Ahorro automático: la clave para alcanzar tus metas financieras\n\nRespuesta\n\n¿Te gustaría ahorrar dinero sin tener que pensarlo dos veces? El ahorro automático es una herramienta poderosa que te permite alcanzar tus metas financieras de manera sencilla y efectiva. Descubre cómo esta práctica puede transformar tu relación con el dinero.\n\n¿Qué es el ahorro automático?Es una estrategia financiera en la que se programan transferencias regulares de una parte del ingreso hacia una cuenta de ahorros, sin necesidad de intervención manual. Esto ayuda a ahorrar de manera constante y facilita la acumulación de fondos a lo largo del tiempo, promoviendo una gestión más eficiente y ordenada del dinero.\n\n¿Qué beneficios tiene el ahorro automático?\n\nFacilidad y comodidad.\n\nConsistencia en el ahorro.\n\nMayor disciplina financiera.\n\nGanancias extra por intereses.\n\n¿Cómo implementar el ahorro automático?\n\nEstablecer una meta clara: Define para qué estás ahorrando.\n\nElegir el monto a ahorrar: Calcula un porcentaje de tus ingresos.\n\nAutomatizar los pagos: Configura transferencias automáticas.\n\nConsejos adicionales:\n\nSé paciente: Los resultados se ven a largo plazo.\n\nRevisa tus metas periódicamente: Ajusta tu plan de ahorro si es necesario.\n\nEl ahorro automático es una estrategia simple pero efectiva para construir tu futuro financiero. Al automatizar tus ahorros, estarás más cerca de alcanzar tus metas y disfrutar de mayor tranquilidad económica.\n\nAhorro automático: la clave para alcanzar tus metas financieras\n\nFuente: https://www.educacionfinancierabancoestado.cl/quiero-ahorrar/detalle-quiero-ahorrar/ahorro-autom%C3%A1tico-la-clave-para-alcanzar-tus-metas-financieras']","El ahorro automático es una estrategia financiera en la que se programan transferencias regulares de una parte del ingreso hacia una cuenta de ahorros, sin necesidad de intervención manual. Esta práctica ayuda a ahorrar de manera constante y facilita la acumulación de fondos a lo largo del tiempo. Entre sus beneficios están la facilidad y comodidad, la consistencia en el ahorro, una mayor disciplina financiera y la posibilidad de obtener ganancias extra por intereses. Para implementarlo, se recomienda: establecer una meta clara (por ejemplo, ahorrar para el pago inicial de un departamento), elegir el monto a ahorrar calculando un porcentaje de los ingresos, y automatizar los pagos configurando transferencias automáticas. Además, es útil ser paciente, revisar las metas periódicamente y ajustar el plan de ahorro si es necesario.",Comprador Primera Vivienda,PERFECT_GRAMMAR,LONG,single_hop_specific_query_synthesizer
"Oye, ¿me puedes explicar qué es la cartola de gastos operacionales y cómo se relaciona con el crédito hipotecario, qué cosas incluye y por qué es importante?","['Qué es la cartola de gastos operacionales\n\nRespuesta\n\nEs el documento que muestra los movimientos y saldos relacionados a los gastos operacionales incurridos para cursar el crédito hipotecario, tales como: inscripción conservatoria, tasación, estudio de títulos y redacción de escritura.\n\nQué es la cartola de gastos operacionales']","La cartola de gastos operacionales es el documento que muestra los movimientos y saldos relacionados a los gastos operacionales incurridos para cursar el crédito hipotecario, tales como: inscripción conservatoria, tasación, estudio de títulos y redacción de escritura.",Estudiante Curioso,POOR_GRAMMAR,LONG,single_hop_specific_query_synthesizer
"¿Dónde pillo el certificado del Registro Nacional de Deudores de Pensión de Alimentos, jarr?",['Qué es el certificado de pensión de alimento y donde se obtiene\n\nRespuesta\n\nEs un documento que emite el Servicio de Registro Civil que acredita la existencia o no de inscripciones en el Registro Nacional de Deudores de Pensión de Alimentos.\n\nQué es el certificado de pensión de alimento y donde se obtiene'],El certificado de pensión de alimentos es un documento que emite el Servicio de Registro Civil y sirve para acreditar si hay o no inscripciones en el Registro Nacional de Deudores de Pensión de Alimentos. Se obtiene en el Servicio de Registro Civil.,Padre de Familia Pragmático,POOR_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
¿Qué es hoja resumen?,"['En qué consiste el documento hoja resumen del contrato\n\nRespuesta\n\nEs un documento exigido por la Ley sobre Protección de los Derechos de los Consumidores y que se firma junto con la escritura por parte del cliente en notaria, se incluye y se suscribe en conjunto con la Hoja Resumen y la Ficha Explicativa, que son los llamados Documentos SERNAC.\n\nEn qué consiste el documento hoja resumen del contrato']","Es un documento exigido por la Ley sobre Protección de los Derechos de los Consumidores y que se firma junto con la escritura por parte del cliente en notaría; se incluye y se suscribe en conjunto con la Hoja Resumen y la Ficha Explicativa, que son los llamados Documentos SERNAC.",Estudiante Curioso,POOR_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
"¿Dónde saco el certificado del Servicio de Impuestos Internos y qué trae, jarr?","['Qué es un certificado de Avalúo Fiscal y en donde lo puedo pedir y que contiene\n\nRespuesta\n\nEs un documento emitido por el Servicio de Impuestos Internos, y que contiene una tasación fiscal del inmueble singularizado con su número de rol y ubicación. También indica el destino legal de la propiedad.\n\nQué es un certificado de Avalúo Fiscal y en donde lo puedo pedir y que contiene']","Es un documento emitido por el Servicio de Impuestos Internos que contiene la tasación fiscal del inmueble, su número de rol, ubicación y el destino legal de la propiedad.",Padre de Familia Pragmático,POOR_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
¿Cómo contrato la cuenta de ahorro vivienda en bancoestado.cl?,['Cómo contratar tu cuenta de ahorro para la vivienda\n\nRespuesta\n\nPaso 1: Ingresa a la App Banco estado\n\nPaso 2: Dirígete a la opción menú productos\n\nPaso 3: Selecciona abrir Cuenta de Ahorro Vivienda\n\nCómo contratar tu cuenta de ahorro para la vivienda\n\nFuente: https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/productos-/ahorro-e-inversiones-/cuentas-de-ahorro-/ahorro-vivienda.html#tabahorro-item-d55526cc6a-tab'],"Para contratarla, ingresa a la App Banco Estado, dirígete al menú Productos y selecciona abrir Cuenta de Ahorro Vivienda.",Estudiante Curioso,PERFECT_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
¿Cómo influye la variación de la UF en la Cuenta de Ahorro Vivienda?,"['Qué es la Cuenta de Ahorro Vivienda\n\nRespuesta\n\nEs una Cuenta unipersonal y reajustable de acuerdo a la variación de la UF, con la que puedes postular a Subsidio Habitacional.\n\nGana intereses y reajustes anualmente por los Depósitos mantenidos por 90 días o más en tu Cuenta. Además, te permite realizar giros de hasta 30 UF diarias, o montos mayores con un aviso de 7 días de anticipación.\n\nCon esta Cuenta de ahorro puedes postular al Subsidio Habitacional del D. S. Nº 40 de 2004 del Ministerio de Vivienda y Urbanismo, inmediatamente después de haber completado el ahorro mínimo exigido. También puedes postular al Subsidio General de Interés Territorial (ex Renovación Urbana) o de Rehabilitación Patrimonial contemplado en el D. S. Nº 40/2004 del MINVU.\n\nQué es la Cuenta de Ahorro Vivienda\n\nFuente: https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/productos-/ahorro-e-inversiones-/cuentas-de-ahorro-/ahorro-vivienda.html#tabahorro-item-d55526cc6a-tab']","La Cuenta de Ahorro Vivienda es unipersonal y se reajusta de acuerdo a la variación de la UF. Por esa razón, los intereses y los reajustes se calculan anualmente sobre los depósitos que se mantengan en la cuenta por 90 días o más. Además, el límite de giros diarios está expresado en UF (hasta 30 UF al día), y se pueden solicitar giros mayores avisando con 7 días de anticipación.",Estudiante Curioso,WEB_SEARCH_LIKE,MEDIUM,single_hop_specific_query_synthesizer
